,Stanowisko,Szacunkowe Wynagrodzenie,Nazwa Firmy,Lokacja-Miasto,Lokacja-Stan,Minimalne Wyn. Roczne,Maksymalne Wyn. Roczne,Średnie Wyn. Roczne,Branża,Sektor,Przychód
0,Data Scientist,$53K-$91K (Glassdoor est.),Tecolote Research,Albuquerque,NM,53000,91000,72000.0,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),University of Maryland Medical System,Linthicum,MD,63000,112000,87500.0,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
2,Data Scientist,$80K-$90K (Glassdoor est.),KnowBe4,Clearwater,FL,80000,90000,85000.0,Security Services,Business Services,$100 to $500 million (USD)
3,Data Scientist,$56K-$97K (Glassdoor est.),PNNL,Richland,WA,56000,97000,76500.0,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
4,Data Scientist,$86K-$143K (Glassdoor est.),Affinity Solutions,New York,NY,86000,143000,114500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
5,Data Scientist,$71K-$119K (Glassdoor est.),CyrusOne,Dallas,TX,71000,119000,95000.0,Real Estate,Real Estate,$1 to $2 billion (USD)
6,Data Scientist,$54K-$93K (Glassdoor est.),ClearOne Advantage,Baltimore,MD,54000,93000,73500.0,Banks & Credit Unions,Finance,Unknown / Non-Applicable
7,Data Scientist,$86K-$142K (Glassdoor est.),Logic20/20,San Jose,CA,86000,142000,114000.0,Consulting,Business Services,$25 to $50 million (USD)
8,Research Scientist,$38K-$84K (Glassdoor est.),Rochester Regional Health,Rochester,NY,38000,84000,61000.0,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
9,Data Scientist,$120K-$160K (Glassdoor est.),<intent>,New York,NY,120000,160000,140000.0,Internet,Information Technology,$100 to $500 million (USD)
10,Data Scientist,$126K-$201K (Glassdoor est.),Wish,San Jose,CA,126000,201000,163500.0,Other Retail Stores,Retail,$1 to $2 billion (USD)
11,Data Scientist,$64K-$106K (Glassdoor est.),ManTech,Chantilly,VA,64000,106000,85000.0,Research & Development,Business Services,$1 to $2 billion (USD)
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Walmart,Plano,TX,106000,172000,139000.0,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
13,Data Analyst,$46K-$85K (Glassdoor est.),Yesler,Seattle,WA,46000,85000,65500.0,Advertising & Marketing,Business Services,Unknown / Non-Applicable
14,Data Scientist,$83K-$144K (Glassdoor est.),Takeda Pharmaceuticals,Cambridge,MA,83000,144000,113500.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
15,Data Engineer I,$102K-$190K (Glassdoor est.),Audible,Newark,NJ,102000,190000,146000.0,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),Blueprint Medicines,Cambridge,MA,67000,137000,102000.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),h2o.ai,Mountain View,CA,118000,189000,153500.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),Nuna,San Francisco,CA,110000,175000,142500.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
